country,Year,success,attackType,targetTypeTitle,targetType,targetSubtype,terroristGroup,numberKilled,numberWounded
Ireland             ,1990,1,Assault                       ,TargetType,Transportation                ,Train                                             ,Irish Republican Army (IRA)                       ,0,0
Belgium             ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,1,0
Cyprus              ,1990,1,Bombing/Explosion             ,TargetType,Religious,Place of Worship                                  ,Unknown                                           ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,8
Netherlands         ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Politician                                        ,Revolutionary Anti-Racist Action                  ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Embassy                                           ,Social Resistance                                 ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Embassy                                           ,Social Resistance                                 ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Embassy                                           ,Social Resistance                                 ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Embassy                                           ,Social Resistance                                 ,0,0
Italy               ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Prison                                            ,Red Brigades                                      ,0,0
Spain               ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,First of October Antifascist Resistance Group,1,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,1,0
Ireland             ,1990,1,Hostage Taking                ,TargetType,Government                    ,Politician                                        ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1990,1,Assault                       ,TargetType,Government                    ,Politician                                        ,Unknown                                           ,1,4
Greece              ,1990,1,Facility/Infrastructure       ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,0
Spain               ,1990,0,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,Assault                       ,TargetType,Police                        ,Police Organizations                                            ,Basque Fatherland and Freedom (ETA)               ,0,2
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Revolutionary People's Struggle (ELA)             ,0,1
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Spain               ,1990,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Business                      ,Unknown                                           ,Protestant extremists                             ,1,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Monument                                          ,Terra Lliure                                      ,0,2
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,4,6
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
France              ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Tourism                                           ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Terrorists                    ,Unknown                                           ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,Facility/Infrastructure       ,TargetType,Business                      ,Entertainment                                     ,Animal Liberation Front (ALF)                     ,0,0
Spain               ,1990,0,Assassination                 ,TargetType,Business                      ,Entertainment                                     ,Basque Fatherland and Freedom (ETA)               ,0,1
Poland              ,1990,1,Assassination                 ,TargetType,Journalists & Media           ,Newspaper                                         ,Unknown                                           ,1,0
Spain               ,1990,0,Assassination                 ,TargetType,Government                    ,Government Institutions                                        ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,Assassination                 ,TargetType,Police                        ,Prison                                            ,Basque Fatherland and Freedom (ETA)               ,0,1
United Kingdom      ,1990,1,Facility/Infrastructure       ,TargetType,Business                      ,Unknown                                           ,Animal Rights extremists                          ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1990,0,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Protestant extremists                             ,1,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Business                      ,Construction                                      ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Airports & Aircraft           ,AirUnknown                                        ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Unknown                                           ,0,1
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Construction                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,1,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,7
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,November 17 Revolutionary Organization (N17RO)    ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,1,1
Spain               ,1990,1,Assassination                 ,TargetType,Business                      ,Bank                                              ,First of October Antifascist Resistance Group,1,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,5
Greece              ,1990,0,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Unknown                                           ,0,0
Spain               ,1990,1,Assault                       ,TargetType,Government                    ,Government Institutions                                        ,Unknown                                           ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,0,1
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,0
Greece              ,1990,1,Facility/Infrastructure       ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,1
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Telecommunication             ,Unknown                                           ,First of October Antifascist Resistance Group,0,0
Sweden              ,1990,1,UnAssault                     ,TargetType,Government                    ,Government Institutions                                        ,Unknown                                           ,0,11
Sweden              ,1990,1,Facility/Infrastructure       ,TargetType,Citizens & Property  ,Refugee                                           ,Unknown                                           ,0,0
Netherlands         ,1990,1,Assassination                 ,TargetType,Business                      ,Unknown                                           ,Irish Republican Army (IRA)                       ,2,0
Sweden              ,1990,1,Facility/Infrastructure       ,TargetType,Government                    ,Embassy                                           ,Unknown                                           ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Unknown                                           ,Unknown                                           ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Unknown                                           ,Unknown                                           ,0,0
France              ,1990,0,Assassination                 ,TargetType,Government                    ,Politician                                        ,Unknown                                           ,0,1
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,November 17 Revolutionary Organization (N17RO)    ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,1,2
Sweden              ,1990,1,Bombing/Explosion             ,TargetType,Religious,Place of Worship                                  ,Unknown                                           ,0,0
Spain               ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,1,2
United Kingdom      ,1990,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,1,1
United Kingdom      ,1990,0,Assassination                 ,TargetType,Business                      ,Industrial                                        ,Animal Liberation Front (ALF)                     ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,2,0
Poland              ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,December 13 Independent Group                     ,0,0
Poland              ,1990,1,Bombing/Explosion             ,TargetType,Airports & Aircraft           ,Airline                                           ,December 13 Independent Group                     ,0,0
Poland              ,1990,1,Bombing/Explosion             ,TargetType,Journalists & Media           ,Newspaper                                         ,December 13 Independent Group                     ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Retail                                            ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Citizens & Property  ,Politician                                        ,Ulster Volunteer Force (UVF)                      ,0,1
United Kingdom      ,1990,0,Assassination                 ,TargetType,Educational Institution       ,Educational Building                              ,Animal Liberation Front (ALF)                     ,0,1
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,17
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,November 17 Revolutionary Organization (N17RO)    ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Animal Liberation Front (ALF)                     ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Terrorists                    ,Unknown                                           ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Government                    ,Politician                                        ,Unknown                                           ,0,0
Spain               ,1990,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,Facility/Infrastructure       ,TargetType,Business                      ,Industrial                                        ,Animal Liberation Front (ALF)                     ,0,0
Spain               ,1990,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,First of October Antifascist Resistance Group,1,0
Austria             ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Politician                                        ,Unknown                                           ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Transportation                ,Train                                             ,Irish Republican Army (IRA)                       ,0,1
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,0,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Business                      ,Unknown                                           ,Meibion Glyndwr                                   ,0,1
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Business                      ,Retail                                            ,Meibion Glyndwr                                   ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Government                    ,Politician                                        ,Meibion Glyndwr                                   ,0,0
United Kingdom      ,1990,0,Assassination                 ,TargetType,Government                    ,Government Institutions                                        ,Meibion Glyndwr                                   ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Politician                                        ,Irish Republican Army (IRA)                       ,0,4
Spain               ,1990,1,Assault                       ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,3,1
Spain               ,1990,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Transportation                ,Train                                             ,Irish Republican Army (IRA)                       ,0,0
Netherlands         ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Unknown                                           ,Unknown                                           ,0,0
United Kingdom      ,1990,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,2,0
Greece              ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Popular Rage                                      ,0,0
Greece              ,1990,1,Assault                       ,TargetType,Citizens & Property  ,Unknown                                           ,Popular Rage                                      ,0,0
Greece              ,1990,1,Assault                       ,TargetType,Citizens & Property  ,Unknown                                           ,Popular Rage                                      ,0,0
Greece              ,1990,1,Assault                       ,TargetType,Citizens & Property  ,Unknown                                           ,Popular Rage                                      ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Free Galician People's Guerrilla Army             ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Free Galician People's Guerrilla Army             ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,Free Galician People's Guerrilla Army             ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Free Galician People's Guerrilla Army             ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Free Galician People's Guerrilla Army             ,0,0
Netherlands         ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,0
Netherlands         ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,1
Spain               ,1990,0,Assassination                 ,TargetType,Police                        ,Police Organizations                                            ,Basque Fatherland and Freedom (ETA)               ,0,1
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Transportation                ,Train                                             ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,Unknown                                           ,0,0
United Kingdom      ,1990,0,Bombing/Explosion             ,TargetType,Airports & Aircraft           ,Airline                                           ,Unknown                                           ,0,0
Spain               ,1990,0,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,0,1
Spain               ,1990,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
